Titel,Status,Kategorie,ID,Datum,Beschreibung,Adresse,Koordinaten,Logbucheinträge
ID 181,Kein Status,Privates Grün an Straßen 🌲,181,"16.01.2025, 18:09","Oldenburg, Auf der Düne 34 -  die Hecke ragt in den öffentlichen Bereich und behindert die Sicht auf den Straßenverkehr der Spielstraße. Erhebliche Gefahr für Radfahrer, Fußgänger und Kinder.","Auf der Düne 34, 26133 Oldenburg","53.0947, 8.2147","08.04.2025, 15:19: Der Mangel wurde bearbeitet.; 27.01.2025, 16:49: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 27.01.2025, 16:49: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 178,Kein Status,Wilde Müllkippe 🧹,178,"16.01.2025, 14:53","Und schon wieder wird der Platz als wilde Müllkippe mißbraucht. Matratzen, Hausmüll und vieles mehr. Langsam wird es müßig.","Am Schießstand 19, 26122 Oldenburg","53.1305, 8.1964","27.01.2025, 06:37: Der Müll wird durch die Stellplatzreinigung beseitigt."
ID 177,Kein Status,Straßen  🚧,177,"16.01.2025, 13:47","Öl oder Kraftstoffspur. 
Tropfen in regelmäßigen Abständen von Gerhard-Schnitger-Str. Auf Dwaschweg über Bahnhofsallee bis Gasweg","Gerhard-Schnitger-Straße, 26133 Oldenburg","53.0937, 8.2397","30.01.2025, 13:37: Der in der Meldung angezeigte Mangel wurde beseitigt.; 17.01.2025, 11:30: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 17.01.2025, 11:29: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 176,Kein Status,Wilde Müllkippe 🧹,176,"16.01.2025, 10:43",Starke Vermüllung der Grünflächen,"Nelkenstraße 3, 26121 Oldenburg","53.1478, 8.2139","17.01.2025, 21:31: Der Mangel wurde bearbeitet.; 16.01.2025, 10:56: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 16.01.2025, 10:56: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 175,Kein Status,"Öffentliches Grün, Parkanlagen 🌲",175,"16.01.2025, 10:26",Der Stepper (Ganzkörpertrainer) bei den Fitnessgeräten am Flötenteich scheint defekt zu sein.,"Mühlenhofsweg, 26125 Oldenburg","53.1675, 8.2345","21.01.2025, 16:00: Danke für Deine Meldung! Wir haben keinen Mangel festgestellt.; 21.01.2025, 12:40: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 21.01.2025, 12:39: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 174,Kein Status,Ampel 🚦,174,"16.01.2025, 08:08","Moin, die Fußgängerampel ist seit Monaten defekt an dieser Stelle (Einmündung Ahlkenweg - Hundsmühler str.). Man kann kein Signal auslösen, wenn man die Straße überqueren möchte.","Hundsmühler Straße 94, 26131 Oldenburg","53.1252, 8.1907","08.05.2025, 13:30: Der Mangel wurde bearbeitet.; 16.01.2025, 09:09: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 16.01.2025, 09:09: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 172,Kein Status,Wilde Müllkippe 🧹,172,"15.01.2025, 23:07","Illegal abgelegter Müll am Straßenrand/ Grünfläche . Ecke Kasernenstrasse/ Graf Spee Straße 
Lattenrost ect.","Kasernenstraße, 26123 Oldenburg","53.1548, 8.2308","23.01.2025, 10:00: Der Müll wurde beseitigt."
ID 171,Kein Status,Privates Grün an Straßen 🌲,171,"15.01.2025, 18:36",Grundstück 26122 Oldenburg / Steinweg Nr. 28 - Zweige an der Auffahrt ragen weit auf den Gehweg. Behinderung für Fußgänger.,"Steinweg, 26121 Oldenburg","53.1421, 8.2065","16.01.2025, 10:16: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 16.01.2025, 10:16: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 170,Kein Status,Wilde Müllkippe 🧹,170,"15.01.2025, 18:04","In dem Regenrückhaltebecken liegt ein Fahrrad sowie ein ""Bobbycar"" sichtbar geworden durch den niedrigen Wasserstand.","Schellsteder Weg 45, 26125 Oldenburg","53.1707, 8.2412","23.01.2025, 09:55: Der Müll wurde beseitigt.; 16.01.2025, 14:27: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 16.01.2025, 14:23: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 169,Kein Status,Straßen  🚧,169,"15.01.2025, 17:49","Loch im Burgersteig auf Seite des Bürgerbusch. Erneute Meldung. Letztes Mal konnte das angeblich nicht gefunden werden. Bitte genau schauen, das ist nicht zu übersehen. Danke.","Scheideweg 208, 26127 Oldenburg","53.1751, 8.2069","16.01.2025, 09:16: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 16.01.2025, 09:15: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 168,Kein Status,Straßen  🚧,168,"15.01.2025, 13:48","Schagenweg 33, 26127 Oldenburg-Nadorst. 
Vor dem Wohnhaus ist die Straßen stark abfällig. Dadurch entsteht eine Kuhle zum Grundstücksübergang. Diese Kuhle ist oft mit Wasser und Schlamm gefüllt, bei niedrigen Temperaturen ist eine große Eis-Schicht vorhanden. 
In dem Wohnhaus leben drei Menschen mit Beeinträchtigung. Diese sind aufgrund der Gegebenheiten einem erhötem Sturzrisiko ausgesetzt und haben Probleme mit der Überquerung der genannten Kuhle. 
Viele Nachbarhäuser hatten ähnliche Probleme, dort wurde Teer in die Kuhle geschüttet (siehe angehangenes Bild) um den Boden zu ebnen. 
Die Situation stellt eine dauerhafte Belastung für die Bewohner dar und ist gerade in Wintermonaten gefährlich für jene.","Schagenweg 39, 26127 Oldenburg","53.1653, 8.224","16.01.2025, 09:12: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 16.01.2025, 09:11: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 167,Kein Status,Wilde Müllkippe 🧹,167,"15.01.2025, 13:16",Unter der Autobahnunterführung Am Schießstand befindet sich Müll / Sperrmüll.,"Am Schießstand, 26131 Oldenburg","53.1307, 8.1958","16.01.2025, 12:09: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 16.01.2025, 12:09: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 164,Kein Status,Straßen  🚧,164,"14.01.2025, 20:29",Großes Schlagloch kurz vor der Kreuzung Niedersachsendamm stadteinwärts,"Westfalendamm, 26135 Oldenburg","53.1326, 8.2185","15.01.2025, 09:31: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 15.01.2025, 09:31: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 162,Kein Status,Wilde Müllkippe 🧹,162,"14.01.2025, 18:21",Vor und hinter den Altglas Containern Ecke Stedinger Str./Weserstr.,"Weserstraße 6, 26135 Oldenburg","53.1369, 8.2299","15.01.2025, 08:42: Wieder im Rahmen der Stellplatzreinigung beseitigt"
ID 158,Kein Status,Ampel 🚦,158,"14.01.2025, 14:48",Die Ampel an der Kreuzung der Carl-von-Ossietzky-Straße mit der Ammerländer Heerstraße ist ausgefallen.,"Carl-von-Ossietzky-Straße, 26129 Oldenburg","53.1518, 8.1766","08.05.2025, 13:36: Der Mangel wurde bearbeitet.; 15.01.2025, 13:19: Vielen Dank für die Meldung. Der beschriebene Schaden wurde vom zuständigen Amt behoben.; 15.01.2025, 09:13: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 15.01.2025, 09:13: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 157,Kein Status,Straßen  🚧,157,"14.01.2025, 14:38",Dieser Weg vom Drögen-Hasen-Weg in die Haarenniederung ist nach Regenfällen nicht passierbar.,"Drögen-Hasen-Weg 59, 26129 Oldenburg","53.149, 8.17","20.01.2025, 16:14: Danke für Deine Meldung! Leider konnten wir bei dem gemeldeten Mangel nicht tätig werden.; 15.01.2025, 09:21: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 15.01.2025, 09:21: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 156,Kein Status,Straßen  🚧,156,"14.01.2025, 14:34",Dieser Weg in die Haarenniederung ist bei Regen nicht begehbar. Siehe Foto,"Quellenweg 106, 26129 Oldenburg","53.1462, 8.1723","15.01.2025, 09:15: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 15.01.2025, 09:15: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 154,Kein Status,Verkehrszeichen ⚠️,154,"14.01.2025, 10:26",angefahrenes Verkehrszeichen ragt in den Fahrradweg,"Alexanderstraße 173, 26121 Oldenburg","53.1598, 8.2086","16.01.2025, 07:34: Vielen Dank für die Meldung. Der beschriebene Schaden wurde vom zuständigen Amt behoben.; 14.01.2025, 11:52: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 14.01.2025, 11:52: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 151,Kein Status,Wilde Müllkippe 🧹,151,"13.01.2025, 22:21","Im Busch werden, falschen, Zigaretten, Fahrrädern… dort wird auch gepinkelt…. Ich bitte, dass dieser Busch unbedingt weg muss sowie den jetzigen Abfall, welcher man auf den Bildern sieht.

Vielen Dank im Voraus!","Donnerschweer Straße 149, 26123 Oldenburg","53.1498, 8.2289","23.01.2025, 10:03: Der Müll wurde beseitigt.; 14.01.2025, 07:23: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 14.01.2025, 07:23: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 150,Kein Status,Privates Grün an Straßen 🌲,150,"13.01.2025, 16:42","neben den Laubkäfigen on der Eichenstr. liegen sehr viele Müllsäcke mit Laub, teilweise schon zerrissen.","Eichenstraße 64, 26131 Oldenburg","53.1381, 8.1812","14.01.2025, 11:47: die Müllabführ holt alles ab wenn die Laubkörb wieder eingesammelt werden.
das da neben stellen von Laubsäcken ist untersagt."
ID 148,Kein Status,Wilde Müllkippe 🧹,148,"13.01.2025, 16:29",an dem kleinen Radweg hinterm Famila Zentrum liegt seit Längerem Sperrmüll,"Posthalterweg, 26129 Oldenburg","53.1602, 8.1763","23.01.2025, 09:58: Der Müll wurde beseitigt."
ID 146,Kein Status,Straßen  🚧,146,"13.01.2025, 15:05",Löcher in der Straße,"Helene-Lange-Straße, 26131 Oldenburg","53.1283, 8.1806","14.01.2025, 11:19: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 14.01.2025, 11:19: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 145,Kein Status,"Öffentliches Grün, Parkanlagen 🌲",145,"13.01.2025, 12:37","Umgekippte Bäume. Ein Baum hängt direkt über der Station von der Fahrradroute ""Das Geheimnis des Hofgärtners""","Winkelweg, 26125 Oldenburg","53.1887, 8.2136","15.01.2025, 10:46: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 15.01.2025, 10:45: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 144,Kein Status,Verkehrszeichen ⚠️,144,"12.01.2025, 21:59","Die nächtliche Beleuchtung des Sperrbalkens, stadteinwärts, leuchtet im linken Bereich überhaupt nicht oder so schwach, dass er nicht zu erkennen ist.","Cloppenburger Straße 431, 26133 Oldenburg","53.1057, 8.2069","23.01.2025, 10:41: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 20.01.2025, 11:13: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 20.01.2025, 11:13: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 142,Kein Status,Straßen  🚧,142,"12.01.2025, 15:56",Diverse Beeteinfassungen seit >1 Jahr kaputt. Poller kaputt gefahren,"Damm 2, 26135 Oldenburg","53.136, 8.2173","20.01.2025, 13:31: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 20.01.2025, 13:30: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 141,Kein Status,Wilde Müllkippe 🧹,141,"12.01.2025, 11:21",Der Pendlerparkplatz ist voll Müll.,"Müllersweg, 26135 Oldenburg","53.1193, 8.2599","14.01.2025, 11:23: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 13.01.2025, 06:34: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 13.01.2025, 06:34: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 140,Kein Status,"Öffentliches Grün, Parkanlagen 🌲",140,"11.01.2025, 19:14",Im Wasserzug am Dwaschweg zwischen Bümmerst.Tredde und C.-F.Gaus-Str. blockiert ein Laub-Gestrüpphaufen den Abfluss.,"Dwaschweg, 26133 Oldenburg","53.0994, 8.2333","15.01.2025, 10:39: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 15.01.2025, 10:39: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 139,Kein Status,Wilde Müllkippe 🧹,139,"11.01.2025, 18:29","Auf dem Parkplatz zu Kleingarten wurde erneut eine neue Müllkippe aufgemacht. Am hinteren Ende liegen 4 alte, abgezogene PKW-Reifen, 2 große Schaumstoffmatratzen (1 davon ca. 1,50 m breit) und ""Kleinkram"". Vorne links unter dem Hinweisschild ""bitte hier keinen Müll abladen"" liegt auch noch ein Haufen Grünzeugs. (gesehen 10.1.2025)","Schellsteder Weg, 26125 Oldenburg","53.171, 8.2449","23.01.2025, 10:04: Der Müll wurde beseitigt."
ID 137,Kein Status,Straßen  🚧,137,"11.01.2025, 14:09",Großes Schlagloch auf der Linksabbieger Spur,"Gerhard-Stalling-Straße, 26135 Oldenburg","53.1143, 8.2536","20.01.2025, 16:30: Der Mangel wurde bearbeitet.; 13.01.2025, 08:54: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 13.01.2025, 08:54: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 135,Kein Status,Verkehrszeichen ⚠️,135,"11.01.2025, 13:35",Die Halteverbotsschilder sind verdreckt. Hier wird die letzte Zeit vermehrt widerrechtlich geparkt.,"Reiherweg, 26135 Oldenburg","53.127, 8.2563","16.01.2025, 07:39: Der in der Meldung angezeigte Mangel wurde beseitigt.; 13.01.2025, 09:02: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 13.01.2025, 09:02: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 133,Kein Status,Straßen  🚧,133,"11.01.2025, 10:25","Auf dem Parkplatz befinden sich drei PKW ohne Kennzeichen. Der Sachverhalt besteht seit 5 Wochen.
MfG Nils Huschke","Herrenweg, 26135 Oldenburg","53.1258, 8.2493","13.01.2025, 07:10: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 13.01.2025, 07:10: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 129,Kein Status,Straßen  🚧,129,"10.01.2025, 17:17","Auf dem Klingenbergplatz besteht eine Absperrung aus Metallpfosten. Davon sind zwei mutwillig umgebrochen worden. Planungsfehler = zu dünne Pfosten. Damit sich keine Leute verletzen, bitte ich um unverzüglich Entfernung.","Klingenbergstraße, 26133 Oldenburg","53.1088, 8.2103","16.01.2025, 07:41: Vielen Dank für die Meldung. Ihr Anliegen wurde zur Kenntnis genommen, es wird im Rahmen der laufenden Instandsetzungsarbeiten behoben werden. Ein konkreter Zeitraum kann leider noch nicht genannt werden.; 13.01.2025, 09:10: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 13.01.2025, 09:10: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 127,Kein Status,Straßen  🚧,127,"10.01.2025, 12:12",Auf Höhe der Hausnummer 306 sackt stadteinwärts auf der Kanalseite die Straße immer mehr ab.,"Nordmoslesfehner Straße, 26131 Lower Saxony","53.1084, 8.1453","20.01.2025, 10:49: Danke für Deine Meldung! Leider ist die Stadt Oldenburg nicht zuständig. Die entsprechende Stelle wurde aber informiert.; 13.01.2025, 09:34: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 13.01.2025, 09:34: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 126,Kein Status,Straßen  🚧,126,"10.01.2025, 12:02",Zum dritten oder vierten Mal innerhalb weniger Wochen! Ich würde vorschlagen das Loch anstelle mit Steinen doch wieder mit Asphalt zu schließen. Gefährliche Situation,"Ostweg 29, 26135 Oldenburg","53.1248, 8.2537","10.01.2025, 12:48: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 10.01.2025, 12:48: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 123,Kein Status,Ampel 🚦,123,"09.01.2025, 18:29","Wieso gibt es am Westkreuz für Rechtsabieger in Richtung Ofenerstraße keinen Grünen-Pfeil. Der Verkehr staut sich unnötig. Linksabbieger von der Ofenerstraße kommend, die in Richtung Prinzessinweg fahren, haben auch einen Grünen-Pfeil. Der Verkehr wird unnötig aufgehalten…","Prinzessinweg 2, 26122 Oldenburg","53.1436, 8.1918","10.01.2025, 09:52: Die Ampel am Westkreuz wurde aufgrund der Unfallhäufigkeit umgebaut. Ein Rechtsabbiegepfeil führt erfahrungsgemäß häufig zu Mitzieheffekten im Geradausverkehr, zumal es hier bislang keine getrennte Signalisierung gegeben hat. Um an dieser Stelle keine neue Unfallhäufungsstelle zu erzeugen, wurde auf diesen Rechtsabbiegepfeil zunächst verzichtet.; 10.01.2025, 09:47: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 10.01.2025, 09:47: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 122,Kein Status,Wilde Müllkippe 🧹,122,"09.01.2025, 17:14",Mehrere wilde Müllsäcke auf dem Verbindungsweg Goethestraße-Bogenstraße,"Goethestraße 35, 26123 Oldenburg","53.1549, 8.222","15.01.2025, 10:03: Müll wurde beseitigt.14.01.2025"
ID 120,Kein Status,Wilde Müllkippe 🧹,120,"09.01.2025, 11:11","Moin, mein am 01.01.2025 unter der Nummer 14923 gemeldeter Mangel bedarf der Ergänzung. Bis 07.01. keine Erledigung erfolgt. Gestern dann offenbar die Tüten entsorgt, den restlichen Inhalt aber in der Umgebung verteilt. Wer das war weiß ich nicht, allerdings sieht es jetzt noch schlimmer aus als vorher. Ich weise nochmal ausdrücklich darauf hin, dass in der Umgebung bereits mehrfach Ratten gesichtet wurden, die sich vermutlich über diese Essensreste freuen werden. Es wäre schön, wenn sich endlich jemand zuständig fühlen würde. Mfg","Mühlenhofsweg 157a, 26125 Oldenburg","53.1626, 8.2434","09.01.2025, 13:45: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 09.01.2025, 13:45: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 119,Kein Status,Wilde Müllkippe 🧹,119,"09.01.2025, 09:57","In dem Gang der Goethestr. 35 liegen mehrere Abfallsäcke, die dort wild entsorgt wurden.","Goethestraße 35, 26123 Oldenburg","53.1549, 8.2219","23.01.2025, 09:46: Der Müll wurde beseitigt."
ID 118,Kein Status,Wilde Müllkippe 🧹,118,"09.01.2025, 09:47","Bei den Altglascontainern unter der Autobahnbrücke liegt viel Müll: Elektrogeräte, Bioabfall und verschieden Mülltüten.","Hochheider Weg, 26123 Oldenburg","53.1623, 8.2322","16.01.2025, 08:47: Mangel wurde beseitigt."
ID 117,Kein Status,Straßen  🚧,117,"09.01.2025, 09:40",Abgemeldeter Sprinter steht dort schon seid 3 Monaten,"Schlagbaumweg 15, 16, 17, 26131 Oldenburg","53.1147, 8.1883","09.01.2025, 10:13: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 09.01.2025, 10:12: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 116,Kein Status,Verkehrszeichen ⚠️,116,"09.01.2025, 08:41","Das Ortsschild fehlt, Richtung Dwaschweg","Sprungweg, 26133 Lower Saxony","53.0845, 8.2277","16.01.2025, 07:40: Vielen Dank für die Meldung. Der beschriebene Schaden wurde vom zuständigen Amt behoben.; 09.01.2025, 10:17: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 09.01.2025, 10:16: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 113,Kein Status,Wilde Müllkippe 🧹,113,"08.01.2025, 18:40",Glasscherben in größerer Menge an der Bushaltestelle/ Zaun,"Eßkamp 33, 26127 Oldenburg","53.1702, 8.2242","23.01.2025, 10:01: Der Müll wurde beseitigt.; 10.01.2025, 11:01: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 10.01.2025, 11:01: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 111,Kein Status,Straßen  🚧,111,"08.01.2025, 14:42","Guten Tag,
im Kavallerieweg (von Wildenloh her kommend, ca.300 m) 
befinden sich sehr große, tiefe Löcher genau im Fahrspurbereich.
Sehr gefährlich für Fahrräder und Autos ! 
Müssten dringend aufgefüllt werden !!!
Vielen Dank !","Kavallerieweg, 26131 Lower Saxony","53.1259, 8.1315","09.01.2025, 14:26: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 09.01.2025, 14:26: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 109,Kein Status,Privates Grün an Straßen 🌲,109,"08.01.2025, 13:45",Überprüfung der Standsicherheit des städtischen Baumes. Der Nachbarbaum vor dem Ostring 24 ist beim letzten Sturm umgekippt.,"Ostring 62, 26125 Oldenburg","53.1988, 8.2165","14.01.2025, 15:00: Danke für Deine Meldung! Es wurden bei den Nachbarbäumen keine Hinweise auf eine Beeinträchtigung der Standsicherheit festgestellt.; 09.01.2025, 11:19: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 09.01.2025, 11:19: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 106,Kein Status,Fundräder ⚡️🚲,106,"07.01.2025, 18:09",Seit mind. 1.10.2024 steht dieses Fahrrad beim Lidl und wird nicht bewegt.,"Ammerländer Heerstraße, 26129 Oldenburg","53.1565, 8.171","08.01.2025, 11:30: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 08.01.2025, 07:50: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 08.01.2025, 07:49: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 105,Kein Status,Privates Grün an Straßen 🌲,105,"07.01.2025, 17:49","Bewuchs auf dem Gehweg. Durch die Engstelle, verursacht durch parkende Fahrzeuge und einem schrägstehenden Baum,  kann man auch nur in gebückter Haltung passieren.","Bachstraße 20, 26135 Oldenburg","53.1309, 8.2155","08.01.2025, 10:15: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 08.01.2025, 10:15: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 99,Kein Status,Wilde Müllkippe 🧹,99,"07.01.2025, 13:09",Auf dem Grünstreifen in der Straße Alexandersfeld auf Höhe der Hausnummer 63 liegt ein Schreibtisch.,"Alexandersfeld 63, 26127 Oldenburg","53.187, 8.1914","08.01.2025, 07:49: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 08.01.2025, 07:47: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 97,Kein Status,Wilde Müllkippe 🧹,97,"07.01.2025, 12:32",Durch den Sturm ist sehr viel Müll an den Straßenrändern und auf dem Bürgersteig der kompletten Strackerjanstraße zu finden. Das Bild zeigt nur einen Ausschnitt.,"Strackerjanstraße 35, 26129 Oldenburg","53.1492, 8.1863","07.01.2025, 14:46: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 07.01.2025, 14:46: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 94,Kein Status,Straßen  🚧,94,"07.01.2025, 10:18","Dauerhaft Wasser auf der Straße direkt an der Kreuzung Raiffeisenstr, Moslestr an der Fußgängerampel. Auf diesem Weg sind viele Radfahrer, Fußgänger und Rollstuhlfahrer unterwegs und müssen beherzt springen oder auf die Straße ausweichen.","Moslestraße 1, 26122 Oldenburg","53.1438, 8.2156","08.01.2025, 09:04: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 08.01.2025, 09:03: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 93,Kein Status,"Öffentliches Grün, Parkanlagen 🌲",93,"07.01.2025, 09:53",Baum auf Fuß-/Radweg,"Osterkampsweg 98b, 26131 Oldenburg","53.1361, 8.1699","08.01.2025, 10:14: Der in der Meldung angezeigte Mangel wurde beseitigt oder wird in kürze beseitigt.; 08.01.2025, 10:11: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 08.01.2025, 10:11: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 92,Kein Status,"Öffentliches Grün, Parkanlagen 🌲",92,"07.01.2025, 09:44","Erst einmal finde ich dieses Portal super und bin begeistert, wie schnell die genannten Baustellen bearbeitet werden.
Leider bin ich mir nicht sicher, ob die durchgeführten Aktionen sehr nachhaltig sind. Gefühlt sind die geschlossenen Löcher nach wenigen Tagen wieder im Ursprungszustand. Vielleicht wäre es hier vor allem bei dem bestehenden Arbeitskräftemangel sinnvoll auf ein langlebigeres Füllmaterial zu wechseln.","Scheideweg 133b, 26127 Oldenburg","53.1693, 8.2106","08.01.2025, 10:10: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 08.01.2025, 10:10: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 91,Kein Status,"Öffentliches Grün, Parkanlagen 🌲",91,"07.01.2025, 07:30",Baum liegt quer,26121 Oldenburg,"53.1493, 8.1939","08.01.2025, 10:09: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 08.01.2025, 10:08: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 88,Kein Status,Verkehrszeichen ⚠️,88,"06.01.2025, 20:03",Verkehrsschild beklebt.,"Gartentorstraße, 26131 Oldenburg","53.1296, 8.2045","22.01.2025, 08:20: Vielen Dank für die Meldung. Der beschriebene Schaden wurde vom zuständigen Amt behoben.; 07.01.2025, 10:02: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 07.01.2025, 10:02: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
ID 86,Kein Status,Privates Grün an Straßen 🌲,86,"06.01.2025, 19:53",Im Kirchhofsweg ragen die Sträucher eines Grundstücks erneut fast einen Meter weit auf den Geh- und Radweg.,"Kirchhofsweg, 26135 Oldenburg","53.1307, 8.2242","08.01.2025, 16:16: Vielen Dank für den Hinweis, wir haben Ihr Anliegen weitergeleitet.; 08.01.2025, 16:15: Der Mangel wurde von der Servicestelle aufgenommen und wird in Kürze bearbeitet."
